channel_name,total_subscribers,total_views,total_videos
"NoCopyrightSounds ",34100000,11921854940,1993
"DanTDM ",29200000,20220666901,3771
"KSI ",25000000,6264811203,1269
"Mister Max ",25100000,16561003157,1209
"Jelly ",23500000,15283440854,6761
"Miss Katy ",25500000,16394206739,1157
"Dua Lipa ",24400000,14834827319,315
"Dan Rhodes ",26700000,19204499874,1694
"Ali-A ",19700000,7009017115,4782
"Gaby and Alex ",17300000,9299406454,370
"Sidemen ",22500000,7174798266,425
"Queen Official ",18500000,12659598522,1422
"Little Mix ",16500000,8345399332,278
"JJ Olatunji ",16600000,4527451630,1443
"F2Freestylers - Ultimate Soccer Skills Channel ",14000000,3388816175,783
"BBC News ",18600000,6300988171,26426
"BBC ",15000000,11387532726,24450
"Awakening Music ",15100000,6508769095,1053
"DisneyChannelUK ",13500000,14301338208,4697
"colinfurze ",13200000,1859023314,431
"Mrwhosetheboss ",21300000,7449499796,1827
"TommyInnit ",15100000,2589496129,519
"Morgz ",12600000,3594144075,905
"Tiana ",11300000,3262687624,1062
"DisneyJuniorUK ",13800000,22096710386,4620
"Emily Tube ",11000000,3808366805,718
"Slogo ",11800000,9354849203,6980
"Jessie J ",10800000,6216503271,211
"Sing King ",13800000,10193097784,5118
"BBC News +¦+¦+¿+è ",12600000,5517999850,45338
"Classic Mr Bean ",10800000,3559254011,2235
"Syndicate ",9570000,2142569667,3549
"Gorillaz ",11900000,6913261596,409
"Woody & Kleiny ",15900000,15596967797,1502
"Jungle Beat ",12800000,6688761887,1092
"Julius Dein ",9300000,2634858971,385
"The X Factor UK ",9240000,7127270153,5698
"English with Lucy ",12500000,567490948,420
"Shaun the Sheep ",13200000,7365398608,1226
"Cartoons for Kids ",9120000,3538082033,2898
"Mumbo Jumbo ",9620000,3284881992,2154
"Top Gear ",9360000,4221948519,2050
"Moonbug Kids - Kids Learning Videos ",14400000,10301148367,2105
"BBC Radio 1 ",8430000,3954269723,4245
"Liverpool FC ",11700000,3745709795,8672
"Grian ",8750000,2662948958,808
"Daz Games ",9210000,3074516466,1672
"Vikkstar123 ",7580000,2182299803,5104
"PlayToys ",8030000,3143556910,998
"carwow ",10500000,4900293191,3198
"Jeremy Lynch ",13000000,7349152405,1054
"TomSka ",7450000,2146732584,180
"YOGSCAST Lewis & Simon ",7050000,4655268682,7255
"LDShadowLady ",7400000,3584631561,1096
"The Beatles ",9070000,8304127225,364
"Passenger ",7740000,5019541658,411
"MessYourself ",6880000,2593188407,1064
"MoreSidemen ",9340000,5520298977,1330
"Boomerang UK ",8230000,4393470456,2878
"James Arthur ",7710000,5022879659,304
"ARPO The Robot ",7860000,3426035899,1693
"24 News HD ",9140000,4126704227,203001
"RubyandBonnie ",9930000,6353515126,736
"Nickelodeon UK ",7590000,8103577634,3553
"Mark Ronson ",7130000,7149047464,20
"Rhia Official ",15100000,7472189358,1119
"UKF Dubstep ",6230000,2163502230,1932
"TGFbro ",6140000,1488291130,471
"Wilbur Soot ",5390000,805385786,140
"Russell Brand ",6770000,1590325441,4673
"Manchester United ",10300000,2924745856,5304
"Pingu - Official Channel ",7390000,3050636890,724
"Mrwhosetheboss Shorts ",7030000,3849584616,186
"Niko Omilana ",8050000,690822801,145
"Tiana Wilson ",5820000,1654142656,414
"Capital FM ",6390000,3888898899,3191
"Simon's Cat ",6430000,1686778144,632
"CGP Grey ",6790000,1156834016,195
"Jamie Oliver ",6060000,1022286905,2437
"ChrisMD ",5250000,1145044,225
"Dumori Bay ",5530000,31195541,225
"Space Videos ",6590000,1050060849,1167
"Real Stories ",5220000,1473956520,610
"More Emily ",6630000,8071987913,15407
"GRM Daily ",5330000,1032586442,340
"Joe Weller ",11400000,5474345169,5422
"WildBrain Kids ",8850000,5292671557,65228
"Sky News ",5700000,1753727052,806
"Jarvis ",5660000,1136982798,908
"Thoughty2 ",5170000,3060318649,852
"TheDadLab ",4930000,584338973,872
"Behzinga ",8570000,421919040,4025
"BBC Learning English ",4650000,1318225690,510
"Max and Katy ",8580000,2575321207,9538
"Man City ",5620000,1252260893,593
"Wisp ",5180000,910508018,317
"WillNE ",4690000,888392881,2030
"Zerkaa ",4510000,1293683485,877
"Ben Phillips ",4540000,556243910,1062
"Roxxsaurus ",NULL,NULL,NULL
